"login","id","avatar_url","gravatar_id","url","html_url","followers_url","following_url","gists_url","starred_url","subscriptions_url","organizations_url","repos_url","events_url","received_events_url","type","site_admin","score"
"MVZadmin",7377786,"https://avatars.githubusercontent.com/u/7377786?v=3","","https://api.github.com/users/MVZadmin","https://github.com/MVZadmin","https://api.github.com/users/MVZadmin/followers","https://api.github.com/users/MVZadmin/following{/other_user}","https://api.github.com/users/MVZadmin/gists{/gist_id}","https://api.github.com/users/MVZadmin/starred{/owner}{/repo}","https://api.github.com/users/MVZadmin/subscriptions","https://api.github.com/users/MVZadmin/orgs","https://api.github.com/users/MVZadmin/repos","https://api.github.com/users/MVZadmin/events{/privacy}","https://api.github.com/users/MVZadmin/received_events","User",FALSE,3.8652716
"dcmgit",4976731,"https://avatars.githubusercontent.com/u/4976731?v=3","","https://api.github.com/users/dcmgit","https://github.com/dcmgit","https://api.github.com/users/dcmgit/followers","https://api.github.com/users/dcmgit/following{/other_user}","https://api.github.com/users/dcmgit/gists{/gist_id}","https://api.github.com/users/dcmgit/starred{/owner}{/repo}","https://api.github.com/users/dcmgit/subscriptions","https://api.github.com/users/dcmgit/orgs","https://api.github.com/users/dcmgit/repos","https://api.github.com/users/dcmgit/events{/privacy}","https://api.github.com/users/dcmgit/received_events","User",FALSE,3.8652716
"te-papa",5342454,"https://avatars.githubusercontent.com/u/5342454?v=3","","https://api.github.com/users/te-papa","https://github.com/te-papa","https://api.github.com/users/te-papa/followers","https://api.github.com/users/te-papa/following{/other_user}","https://api.github.com/users/te-papa/gists{/gist_id}","https://api.github.com/users/te-papa/starred{/owner}{/repo}","https://api.github.com/users/te-papa/subscriptions","https://api.github.com/users/te-papa/orgs","https://api.github.com/users/te-papa/repos","https://api.github.com/users/te-papa/events{/privacy}","https://api.github.com/users/te-papa/received_events","Organization",FALSE,3.8652716
"mitmuseumstudio",11737703,"https://avatars.githubusercontent.com/u/11737703?v=3","","https://api.github.com/users/mitmuseumstudio","https://github.com/mitmuseumstudio","https://api.github.com/users/mitmuseumstudio/followers","https://api.github.com/users/mitmuseumstudio/following{/other_user}","https://api.github.com/users/mitmuseumstudio/gists{/gist_id}","https://api.github.com/users/mitmuseumstudio/starred{/owner}{/repo}","https://api.github.com/users/mitmuseumstudio/subscriptions","https://api.github.com/users/mitmuseumstudio/orgs","https://api.github.com/users/mitmuseumstudio/repos","https://api.github.com/users/mitmuseumstudio/events{/privacy}","https://api.github.com/users/mitmuseumstudio/received_events","User",FALSE,3.8652716
"CBFM",12037486,"https://avatars.githubusercontent.com/u/12037486?v=3","","https://api.github.com/users/CBFM","https://github.com/CBFM","https://api.github.com/users/CBFM/followers","https://api.github.com/users/CBFM/following{/other_user}","https://api.github.com/users/CBFM/gists{/gist_id}","https://api.github.com/users/CBFM/starred{/owner}{/repo}","https://api.github.com/users/CBFM/subscriptions","https://api.github.com/users/CBFM/orgs","https://api.github.com/users/CBFM/repos","https://api.github.com/users/CBFM/events{/privacy}","https://api.github.com/users/CBFM/received_events","Organization",FALSE,3.8652716
"bangabandhu",12114697,"https://avatars.githubusercontent.com/u/12114697?v=3","","https://api.github.com/users/bangabandhu","https://github.com/bangabandhu","https://api.github.com/users/bangabandhu/followers","https://api.github.com/users/bangabandhu/following{/other_user}","https://api.github.com/users/bangabandhu/gists{/gist_id}","https://api.github.com/users/bangabandhu/starred{/owner}{/repo}","https://api.github.com/users/bangabandhu/subscriptions","https://api.github.com/users/bangabandhu/orgs","https://api.github.com/users/bangabandhu/repos","https://api.github.com/users/bangabandhu/events{/privacy}","https://api.github.com/users/bangabandhu/received_events","User",FALSE,3.8652716
"aum-vertnet",7863328,"https://avatars.githubusercontent.com/u/7863328?v=3","","https://api.github.com/users/aum-vertnet","https://github.com/aum-vertnet","https://api.github.com/users/aum-vertnet/followers","https://api.github.com/users/aum-vertnet/following{/other_user}","https://api.github.com/users/aum-vertnet/gists{/gist_id}","https://api.github.com/users/aum-vertnet/starred{/owner}{/repo}","https://api.github.com/users/aum-vertnet/subscriptions","https://api.github.com/users/aum-vertnet/orgs","https://api.github.com/users/aum-vertnet/repos","https://api.github.com/users/aum-vertnet/events{/privacy}","https://api.github.com/users/aum-vertnet/received_events","Organization",FALSE,3.8652716
"TheCubanMuseum",8049118,"https://avatars.githubusercontent.com/u/8049118?v=3","","https://api.github.com/users/TheCubanMuseum","https://github.com/TheCubanMuseum","https://api.github.com/users/TheCubanMuseum/followers","https://api.github.com/users/TheCubanMuseum/following{/other_user}","https://api.github.com/users/TheCubanMuseum/gists{/gist_id}","https://api.github.com/users/TheCubanMuseum/starred{/owner}{/repo}","https://api.github.com/users/TheCubanMuseum/subscriptions","https://api.github.com/users/TheCubanMuseum/orgs","https://api.github.com/users/TheCubanMuseum/repos","https://api.github.com/users/TheCubanMuseum/events{/privacy}","https://api.github.com/users/TheCubanMuseum/received_events","Organization",FALSE,3.8652716
"ashmolean",17160167,"https://avatars.githubusercontent.com/u/17160167?v=3","","https://api.github.com/users/ashmolean","https://github.com/ashmolean","https://api.github.com/users/ashmolean/followers","https://api.github.com/users/ashmolean/following{/other_user}","https://api.github.com/users/ashmolean/gists{/gist_id}","https://api.github.com/users/ashmolean/starred{/owner}{/repo}","https://api.github.com/users/ashmolean/subscriptions","https://api.github.com/users/ashmolean/orgs","https://api.github.com/users/ashmolean/repos","https://api.github.com/users/ashmolean/events{/privacy}","https://api.github.com/users/ashmolean/received_events","User",FALSE,3.8652716
"KimbellArt",16142519,"https://avatars.githubusercontent.com/u/16142519?v=3","","https://api.github.com/users/KimbellArt","https://github.com/KimbellArt","https://api.github.com/users/KimbellArt/followers","https://api.github.com/users/KimbellArt/following{/other_user}","https://api.github.com/users/KimbellArt/gists{/gist_id}","https://api.github.com/users/KimbellArt/starred{/owner}{/repo}","https://api.github.com/users/KimbellArt/subscriptions","https://api.github.com/users/KimbellArt/orgs","https://api.github.com/users/KimbellArt/repos","https://api.github.com/users/KimbellArt/events{/privacy}","https://api.github.com/users/KimbellArt/received_events","Organization",FALSE,3.8652716
