"html_url","type","name","company","blog","location","bio","public_repos","followers","created_at","updated_at"
"https://github.com/NYSMuseum","User","New York State Museum","New York State Museum",,,,"1","0","2016-02-03T14:46:45Z","2016-03-04T20:20:01Z"
"https://github.com/TheScienceMuseum","Organization","The Science Museum",,"http://www.sciencemuseum.org.uk","London, UK","Historic collections, awe-inspiring galleries and inspirational exhibitions","0","0","2016-01-08T12:30:28Z","2016-01-08T12:44:05Z"
"https://github.com/studiomuseum","User","Studio Museum Website 2010","The Studio Museum in Harlem","http://www.studiomuseum.org/","New York, NY",,"0","0","2015-03-10T17:05:45Z","2016-02-29T22:49:58Z"
"https://github.com/mudpie446","User","World Museum Project","World Museum","http://sns.hiroba.sist.chukyo-u.ac.jp/","The whole world",,"1","0","2015-08-26T11:42:43Z","2016-02-28T09:13:42Z"
"https://github.com/nhm-github","User","Natural History Museum User","Natural History Museum","http://www.nhm.ac.uk","London",,"0","0","2014-01-02T16:54:40Z","2016-03-17T09:53:14Z"
"https://github.com/monticello-railway-museum","Organization","Monticello Railway Museum",,"http://www.mrym.org/","Monticello, IL","An all-volunteer organization in central Illinois with an operational railroad, yard, and museum exhibits open to the public.","1","0","2014-06-05T20:12:50Z","2016-03-22T20:23:04Z"
"https://github.com/monticello-railway-museum","Organization","Monticello Railway Museum",,"http://www.mrym.org/","Monticello, IL","An all-volunteer organization in central Illinois with an operational railroad, yard, and museum exhibits open to the public.","1","0","2014-06-05T20:12:50Z","2016-03-22T20:23:04Z"
"https://github.com/psrm","Organization","Pacific Southwest Railway Museum Association",,"https://www.psrm.org/","San Diego, CA",,"2","0","2015-04-25T04:20:54Z","2016-04-03T20:23:10Z"
"https://github.com/reelab","Organization","Ree Lab @ Field Museum",,,,,"1","0","2016-04-02T21:50:42Z","2016-04-02T21:52:29Z"
"https://github.com/nmalabs","Organization","National Museum of Australia",,"nma.gov.au","Canberra",,"0","0","2010-11-02T03:30:45Z","2016-04-10T09:54:42Z"
"https://github.com/whalemuseum","User","The Whale Museum","The Whale Museum","http://whalemuseum.org","Friday Harbor, WA",,"0","0","2012-11-30T00:38:12Z","2016-02-27T04:54:08Z"
"https://github.com/PolishHistoryMuseum","Organization","Polish History Museum",,,,,"1","0","2010-07-30T21:00:59Z","2016-02-26T23:19:16Z"
"https://github.com/dcmgit","User","DuPage Children's Museum","DuPage Children's Museum","www.dupagechildrensmuseum.org","Naperville, IL",,"2","0","2013-07-09T21:10:30Z","2016-02-27T10:00:27Z"
"https://github.com/te-papa","Organization","Museum of New Zealand Te Papa Tongarewa",,"http://www.tepapa.govt.nz","New Zealand",,"4","0","2013-08-29T22:07:12Z","2015-10-27T04:22:56Z"
"https://github.com/aum-vertnet","Organization","Auburn University Museum of Natural History",,"http://aumnh.org","Auburn, AL, USA",,"2","0","2014-06-11T19:21:01Z","2015-04-02T08:57:48Z"
"https://github.com/TheCubanMuseum","Organization","The Cuban Museum",,,"Miami, FL",,"0","0","2014-07-02T15:15:25Z","2014-07-02T15:25:34Z"
"https://github.com/mattressfactory","Organization","Mattress Factory Museum",,"www.mattress.org","Pittsburgh, PA",,"0","0","2012-10-09T23:44:59Z","2016-03-22T20:22:34Z"
"https://github.com/MetMuseumofArt","Organization","Metropolitan Museum of Art",,,"New York, NY",,"0","0","2013-03-05T23:02:45Z","2016-03-23T10:15:36Z"
"https://github.com/maineminerals","Organization","Maine Mineral & Gem Museum",,,,,"0","0","2015-11-12T19:02:53Z","2016-03-12T10:33:22Z"
"https://github.com/ROMtoronto","Organization","Royal Ontario Museum",,"http://www.rom.on.ca/","Toronto, Canada",,"0","0","2014-04-10T14:12:12Z","2014-04-10T14:35:13Z"
"https://github.com/MVZadmin","User","Museum of Vertebrate Zoology","Museum of Vertebrate Zoology","http://mvz.berkeley.edu/","Berkeley, CA",,"0","0","2014-04-22T21:22:40Z","2016-02-27T15:46:48Z"
"https://github.com/dcmgit","User","DuPage Children's Museum","DuPage Children's Museum","www.dupagechildrensmuseum.org","Naperville, IL",,"2","0","2013-07-09T21:10:30Z","2016-02-27T10:00:27Z"
"https://github.com/te-papa","Organization","Museum of New Zealand Te Papa Tongarewa",,"http://www.tepapa.govt.nz","New Zealand",,"4","0","2013-08-29T22:07:12Z","2015-10-27T04:22:56Z"
"https://github.com/mitmuseumstudio","User","MIT Museum Studio","MIT","http://mitmuseumstudio.mit.edu","Cambridge, Massachusetts, USA",,"1","0","2015-03-31T13:19:32Z","2016-02-28T03:09:58Z"
"https://github.com/CBFM","Organization","Computational Biology at The Field Museum",,"http://cbfm.github.io/website/",,"Computational Biology at The Field Museum","3","0","2015-04-20T17:22:32Z","2015-07-27T20:54:10Z"
"https://github.com/bangabandhu","User","Bangabandhu Online Museum",,"http://bangabandhu.net",,,"1","0","2015-04-25T17:58:08Z","2016-02-28T04:10:24Z"
"https://github.com/aum-vertnet","Organization","Auburn University Museum of Natural History",,"http://aumnh.org","Auburn, AL, USA",,"2","0","2014-06-11T19:21:01Z","2015-04-02T08:57:48Z"
